INFO:     Started server process [5100]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8010 (Press CTRL+C to quit)
2026-09-10 14:40:10,333 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:10,335 | INFO | openai._base_client | Retrying request to /chat/completions in 0.456522 seconds
2026-09-10 14:40:11,235 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:11,241 | ERROR | app.image_extractor | Vision analysis failed for C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\extracted_images\d8884093f499.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:40:11,630 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:11,633 | INFO | openai._base_client | Retrying request to /chat/completions in 0.400264 seconds
2026-09-10 14:40:12,430 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:12,437 | ERROR | app.image_extractor | Vision analysis failed for C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\extracted_images\6b34b4fc95c9.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:40:12,794 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:12,800 | INFO | openai._base_client | Retrying request to /chat/completions in 0.426608 seconds
2026-09-10 14:40:14,166 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:14,173 | ERROR | app.image_extractor | Vision analysis failed for C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\extracted_images\876a0b21fad4.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:40:18,941 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:18,944 | INFO | openai._base_client | Retrying request to /chat/completions in 0.492333 seconds
2026-09-10 14:40:19,809 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 14:40:19,814 | ERROR | app.image_extractor | Vision analysis failed for C:\Users\Suraj.mm1\Downloads\docgenplatform-feature-doc-quality-fixes-sohan\orchestration\brd_convo_app\backend\app\extracted_images\e6979888b94e.png: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-09-10 14:40:19,816 | ERROR | app.image_extractor | Vision circuit breaker tripped after 5 consecutive failures — skipping vision for remaining images in this run.
2026-09-10 14:40:19,819 | INFO | app.image_extractor | Extracted 59 images from Metro_SAP_CALM_Proposal.pptx
2026-09-10 14:40:19,856 | INFO | app.image_extractor | Appended 0 new images to image_chunks.json (total: 3717)
2026-09-10 14:40:19,859 | INFO | ProjectRoutes | Image extraction complete for 6581c97e: 59 found, 0 new
2026-09-10 14:40:20,233 | INFO | SlideRenderer | Slide picker: 6 slide(s) look like diagrams in Metro_SAP_CALM_Proposal.pptx -> [3, 4, 5, 6, 7, 8]
2026-09-10 14:40:23,033 | INFO | SOWTemplateRoutes | Applied SOW template 0c27be4e (Bristlecone SOW Template (2025)) to project f8dcc57a — 15 sections, engagement=tm
2026-09-10 14:40:23,074 | INFO | SOWReviewGate | Review checklist loaded: 101 checkpoints across 11 categories
2026-09-10 14:40:28,902 | INFO | azure.identity._credentials.environment | No environment configuration found.
2026-09-10 14:40:28,943 | INFO | azure.identity._credentials.managed_identity | ManagedIdentityCredential will use IMDS
2026-09-10 14:40:28,948 | WARNING | app.claude_provider | claude_provider(azure): SSL verification DISABLED (AZURE_SSL_VERIFY=false).
